<TICKER>,<DATE>,<TIME>,<OPEN>,<LOW>,<HIGH>,<CLOSE>
XAUAUD,20061103,00:00:00,806.8519,803.1998,817.4965,815.6185
XAUAUD,20061106,00:00:00,811.3060,807.0789,817.4831,807.9865
XAUAUD,20061107,00:00:00,807.9865,805.1328,812.0883,808.1056
XAUAUD,20061108,00:00:00,808.4445,795.4575,813.3940,799.5326
XAUAUD,20061109,00:00:00,799.6364,798.2091,826.5453,825.3184
XAUAUD,20061110,00:00:00,825.2958,814.5686,827.7793,817.4831
XAUAUD,20061113,00:00:00,818.5968,812.2299,825.5647,819.2424
XAUAUD,20061114,00:00:00,819.2424,809.3121,821.1489,811.5279
XAUAUD,20061115,00:00:00,811.5279,805.6283,817.1354,814.0447
XAUAUD,20061116,00:00:00,813.9383,805.8961,817.8264,807.7024
XAUAUD,20061117,00:00:00,807.7024,803.8883,810.7259,808.1176
XAUAUD,20061120,00:00:00,808.3171,806.0244,814.9016,808.0520
XAUAUD,20061121,00:00:00,808.0520,808.0520,816.7989,814.6082
XAUAUD,20061122,00:00:00,814.5025,808.1238,818.2641,812.4193
XAUAUD,20061123,00:00:00,812.4193,811.6204,816.5138,813.2919
XAUAUD,20061124,00:00:00,814.6568,813.9355,822.4166,819.8048
XAUAUD,20061127,00:00:00,817.6342,816.6453,824.4825,822.7051
XAUAUD,20061128,00:00:00,822.9167,809.8835,824.6561,816.6262
XAUAUD,20061129,00:00:00,816.7305,809.4873,823.9130,813.0829
XAUAUD,20061130,00:00:00,813.0829,809.0458,822.2758,821.2610
XAUAUD,20061201,00:00:00,821.0527,815.1292,821.7998,819.0356
XAUAUD,20061204,00:00:00,816.6287,814.1368,824.0234,818.0091
XAUAUD,20061205,00:00:00,818.1128,813.6630,824.5993,816.9785
XAUAUD,20061206,00:00:00,817.0825,798.6518,817.0825,804.1842
XAUAUD,20061207,00:00:00,804.6944,790.6329,804.7971,803.2974
XAUAUD,20061208,00:00:00,803.1706,793.6832,805.9607,794.8555
XAUAUD,20061211,00:00:00,795.8195,794.6724,803.5965,802.0886
XAUAUD,20061212,00:00:00,802.0886,797.9386,802.8277,800.3815
XAUAUD,20061213,00:00:00,799.8728,792.9762,801.6308,799.5415
XAUAUD,20061214,00:00:00,799.4142,797.2526,803.7862,801.6096
XAUAUD,20061215,00:00:00,799.8978,786.2351,805.3063,787.5608
XAUAUD,20061218,00:00:00,788.1041,784.4066,790.5042,788.5897
XAUAUD,20061219,00:00:00,788.5897,785.5502,794.6885,793.3189
XAUAUD,20061220,00:00:00,793.6225,786.0046,795.4488,790.2712
XAUAUD,20061221,00:00:00,790.3718,787.2801,793.9975,788.6210
XAUAUD,20061222,00:00:00,788.6480,786.6311,793.3852,790.5880
XAUAUD,20061225,00:00:00,792.4167,786.1938,792.4167,790.7006
XAUAUD,20061226,00:00:00,793.3758,792.2607,802.2470,799.0786
XAUAUD,20061227,00:00:00,798.9764,794.7804,801.5549,798.6748
XAUAUD,20061228,00:00:00,798.9041,796.1152,805.2311,802.9613
